Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
3601.0,0.68,0.41,3.0,106.0,6.0,0.0,0.0,sales,low
4209.0,0.96,0.84,4.0,272.0,4.0,1.0,0.0,sales,medium
37.0,0.38,0.46,2.0,137.0,3.0,0.0,0.0,technical,low
10998.0,0.51,0.58,4.0,140.0,2.0,1.0,0.0,product_mng,low
7572.0,0.6,0.58,3.0,201.0,3.0,0.0,0.0,sales,medium
1338.0,0.41,0.56,2.0,143.0,3.0,0.0,0.0,technical,low
388.0,0.1,0.97,6.0,247.0,4.0,0.0,0.0,management,medium
1902.0,0.46,0.55,2.0,147.0,3.0,0.0,0.0,product_mng,medium
14057.0,0.63,0.7,5.0,160.0,3.0,0.0,0.0,management,high
2643.0,0.85,0.91,4.0,145.0,3.0,0.0,0.0,support,medium
716.0,0.36,0.45,2.0,127.0,3.0,0.0,0.0,accounting,low
10614.0,0.9,0.81,4.0,175.0,3.0,0.0,0.0,management,medium
5504.0,0.56,0.63,4.0,204.0,4.0,0.0,0.0,marketing,medium
11326.0,0.53,0.37,3.0,180.0,3.0,0.0,0.0,support,medium
12634.0,0.38,0.56,2.0,154.0,3.0,0.0,0.0,sales,low
1282.0,0.75,0.88,5.0,270.0,5.0,0.0,0.0,IT,high
,,,,,,,,,
2767.0,0.8,0.54,4.0,269.0,3.0,0.0,0.0,sales,medium
8783.0,0.57,0.95,4.0,176.0,3.0,0.0,0.0,technical,high
10987.0,0.89,0.71,4.0,190.0,3.0,0.0,0.0,RandD,low
11134.0,0.62,0.84,3.0,270.0,6.0,0.0,0.0,hr,medium
5964.0,0.62,0.55,3.0,108.0,2.0,1.0,0.0,sales,medium
14054.0,0.68,0.75,4.0,258.0,3.0,0.0,0.0,management,high
13943.0,0.77,0.82,4.0,134.0,3.0,0.0,1.0,sales,low
2598.0,0.56,0.92,4.0,172.0,2.0,0.0,0.0,support,medium
7242.0,0.96,0.93,6.0,240.0,6.0,0.0,0.0,IT,low
